Name,Price,Used For,Transmisson,Colour,Make Year,Mileage,Engine (CC),Fuel,Kilometer Run,Waranty,Types
Volkswagen Vento TSl AT Sales & exchange offer (Volkswagen),"रू. 52,40,000",,Auto - 2WD,,2021,,,Petrol,,,
TATA TIGOR XZ+ (Tata),"रू. 19,99,000",,Manual - 2WD,Silver,2017,20,1199,Petrol,,,
Isuzu Dmax Vcross (Other Brands),"रू. 52,00,000",,Manual - 4WD,Obsidian grey,2017,,2499,Diesel,60000,,
Hyundai i20 Active S|2017| Urgent sale| Full fresh (Hyundai),"रू. 27,25,000",Official works only,Manual2WD,white,2017,14,1200,Petrol,30000,,
Hyundai Xcent Sx O 2014 (Hyundai),"रू. 20,50,000",,Manual2WD,Silky Silver,2014,,1196,Petrol,54383,,
Maruti suzuki wagoner 2015 (Maruti Suzuki),"रू. 14,55,000",,Manual2WD,Marun,2015,,1000,Petrol,52000,,
Maruti Suzuki swift dzire 2009 ON SALE (Maruti Suzuki),"रू. 11,70,000",personal used,Auto - 2WD,blue,2009,15,1200,Petrol,85000,,
TATA 1109 (Tata),"रू. 27,99,000",,Manual - 2WD,white,2018,,3700,Diesel,90000,,
Bolero pick up (Mahindra),"रू. 18,00,000",Personal,Auto4WD,White,2018,,,Diesel,90000,,
Kia on sales (Kia),"रू. 5,50,000",Personal,Auto2WD,White,2004,10 to 12,1200,Petrol,320000,No,
गाडी बिक्रीमा (Mahindra),"रू. 21,00,000",,Manual - 4WD,white,2015,15,2200,Diesel,64000,,
Scorpio S4+ (Mahindra),"रू. 38,50,000",5,Manual4WD,Blue,2017,15,2200,Diesel,5600,,
Hyundai Creta 2017 base model SingleHand For Sale (Hyundai),"रू. 32,85,000",,Manual2WD,Silver,2017,10,1600,Petrol,49000,,
Single Hand Used Fully Loaded Family Car Swift VXI (Maruti Suzuki),"रू. 16,75,900",Few Years,Manual2WD,Grey,2012,18,1197,Petrol,55000,,
"Volkswagen polo 1.6 2011 silver, fresh condition, (Volkswagen)","रू. 15,00,000",,Manual2WD,Silver,2011,12-Oct,1600,Petrol,55000,,
Car sell on urgent (Honda),"रू. 12,90,000",Office to home,Manual4WD,Maroon,2007,13,1350,Petrol,75000,No,
PROTON WIRA (2003) (Other Brands),"रू. 5,75,000",,Manual - 2WD,,2003,,1498,Petrol,19000,,
picanto silver (Kia),"रू. 10,50,000",,Manual - 2WD,silver,2009,,1100,Petrol,83000,,
Hyundai Creta SX+ 2017 Model Fulloptions On Sale (Hyundai),"रू. 41,00,000",,Manual - 2WD,White,2017,12,1500,Petrol,41000,,
Ford figo titanium 2015 (Ford),"रू. 12,50,000",,Auto2WD,Grey,2015,15,1200,Petrol,50000,,
Renault duster RXS 2018 (Renault),"रू. 25,00,000",,Manual - 2WD,,2018,,1500,Petrol,50000,,
Urgent sell (Tata),"रू. 9,50,000",2 years,Auto2WD,Blue,2021,20,600,Diesel,123,0,
Picanto 2008 Silver full option (Kia),"रू. 9,00,000",,Manual2WD,silver,2008,14,1100,Petrol,53000,,
2013 model ford figo singlehand sale or exng bikes (Ford),"रू. 12,50,000",,Manual2WD,Silver,2013,,1200,Petrol,43000,,
2019 Hyundai Grand i10 Sportz (Hyundai),"रू. 25,75,000",,Manual2WD,Titan Gray Metallic,2019,,1197,Petrol,20000,,
Mahindra xuv 500 w10 2016 model for sale (Mahindra),"रू. 38,50,000",,Manual4WD,Orange,2016,,2200,Diesel,53000,,
Maruti Suzuki Alto 800 for sale (Maruti Suzuki),"रू. 15,00,000",,Auto - 2WD,,2020,,,Petrol,,,
Grand I 10 Magna 1.2 (2019 Model) (Hyundai),"रू. 25,50,000",,Manual - 2WD,Silver,2019,16,1196,Petrol,17000,,
sky vetor dozer on sale (Other Brands),"रू. 45,00,000",,Manual - 4WD,,2017,,,Diesel,,,
TATA VISTA 2010 FOR SALE (Tata),"रू. 7,00,000",4 YEARS,Manual2WD,INFINITE BLACK,2010,15-Dec,1300,Petrol,84000,N/A,
School bus sale (Other Brands),"रू. 10,50,000",School,Auto2WD,Yellow,2013,10,3200,Diesel,60000,No,
tata motors super ace (Tata),"रू. 6,50,000",सामान वसार पसार गर्ने ।,Power Steering,सेतो,2015,12,1400,Diesel,150,इन्जिन 1 बर्ष बेटरि 6 महिना।,
Mazda 3 (Mazda),"रू. 12,75,000",17 years,Manual - 2WD,grey,2005,14,1600,Petrol,36000,none,
toyota corolla old vintage 1975 car (Toyota),"रू. 5,00,000",,Manual - 4WD,,1975,,1200,Petrol,50000,,
"2006 model suzuki japanese vitara 4wd,fully loaded (Maruti Suzuki)","रू. 19,50,000",,Manual4WD,Silver,2006,,2000,Petrol,75000,,
Urgent sale Maruti van 2018 Model good condition (Maruti Suzuki),"रू. 7,00,000",Delrvery purpose,Auto4WD,white,2018,15,796,Petrol,63000,no,
SWIFT LXI 2005 (Urgent Sale ) All Tax cleared (Maruti Suzuki),"रू. 8,99,999",,Manual2WD,Silver,2005,,1200,Petrol,70000,,
Hyundai creta sxo petrol 2019 (Hyundai),"रू. 48,50,000",,Manual - 2WD,White,2019,14,1598,Petrol,41000,,
four sale swift zxi 2017 model (Maruti Suzuki),"रू. 22,50,000",,Manual - 2WD,,2017,15,1200,Petrol,35680,,
Japanese Model Mazda 3 On Sale Air Bag N Abs Fresh (Mazda),"रू. 9,50,000",15 Years,Manual - 2WD,Blue,2004,10,1600,Petrol,61000,w,
pick up van bikrima (Maruti Suzuki),"रू. 2,00,000",,Manual - 2WD,white,1999,16,800,Petrol,20000,,
Brezza Zxi + petrol 2021 Single owner 9851138810 (Maruti Suzuki),"रू. 39,75,000",1 year,Manual - 2WD,WhIte,2021,15,1500,Petrol,18500,,
Single hand Honda Jazz VMT Fully Loaded 2016 (Honda),"रू. 24,75,000",Private,Manual2WD,Morun metallic,2016,12,1200,Petrol,37000,Yes,
Santro (Hyundai),"रू. 12,50,000",7 month,Manual2WD,Silver,2009,13 plus,1096,Petrol,78000,,
sales (Mahindra),"रू. 12,00,000",comercial,Manual - 2WD,white,2016,,2523,Diesel,127130,,
indica 2007 model DLE (Tata),"रू. 5,00,000",home to office,Auto2WD,white,2007,18,1400,Diesel,53000,no,
Hilux 2010 (Toyota),"रू. 35,00,000",Home,Manual4WD,Silver,2010,15,2500 cc,Diesel,100000,No warrant,
Car (Volkswagen),"रू. 14,90,000",Nepal,Auto - 4WD,White,2011,14,1600,Petrol,38000,No,
I10 on sale (Hyundai),"रू. 16,00,000",,Manual2WD,Gray,2012,14-15,1100,Petrol,33000,,
Hyundai i20 active 2016 model in sell (Hyundai),"रू. 26,50,000",,Manual - 2WD,white,2016,,1200,Petrol,40000,,
Urgent sale Hundai i20 Active (Hyundai),"रू. 29,50,000",Home,Auto2WD,Sleek Silver,2015,12,1200,Petrol,53000,,
Kia Sportage 2016 model single handed in sell (Kia),"रू. 57,00,000",,Manual - 4WD,grey,2016,,,Diesel,,,
Nissan Datsun Redi Go Brand New Condition 5000k (Datsun),"रू. 17,50,000",,Manual - 2WD,White,2021,,1000,Petrol,5000,,
santro full option (Hyundai),"रू. 12,00,000",personal use,Auto - 2WD,red,2005,12,1000,Petrol,42000,no,
Alto Taxi 2019 (Maruti Suzuki),"रू. 2,80,000",3 years,Manual - 2WD,White,2019,17,800,Petrol,125000,,
Scorpio double cab 4wd (Mahindra),"रू. 25,75,000",5 years,Manual4WD,Silver,2017,12,2200,Diesel,88000,,
Toyota AVANZA 7 Seater (Toyota),"रू. 17,50,000",,Manual - 2WD,,0,,,Petrol,,,
Kia picanto 2008 (Kia),"रू. 8,80,000",,PowerSteering,Red,2008,,1086,Petrol,70000,,
FULL FRESH FULLY LOADED HYUNDAI TUCSON ON SALE (Hyundai),"रू. 18,75,000",13 years,Manual4WD,Light blue green,2008,17,2000,Diesel,66000,,
Tucson for sale (Hyundai),"रू. 18,50,000",2,Manual - 4WD,light sky blue,2007,15,2000,Diesel,560000,no,
Maruti Suzuki Swift 2015 Vxi Single Use For Sale (Maruti Suzuki),"रू. 18,75,000",5 year,Manual - 2WD,Grey,2015,16,1200,Petrol,48000,Yes,
Honda City 2014 (Honda),"रू. 20,99,000",9 years,Manual - 2WD,Maroon,2014,12,1500,Petrol,55000,,
hyundai eon (Hyundai),"रू. 9,00,000",,Manual - 2WD,silver,2012,14,814,Petrol,40000,,
Hyundai i20 Asta Dual Tone (Hyundai),"रू. 27,00,000",,Auto2WD,White,2017,,1200,Petrol,,,
tipper (Tata),"रू. 38,00,000",aa,Manual - 4WD,white,2019,40,5883,Diesel,50000,no,
Maruti Suzuki Zen for sale ! (Maruti Suzuki),"रू. 4,50,000",,Manual2WD,sky Blue,2002,17/18,993,Petrol,27000,,
Maruti Suzuki Brezza Zdi plus 2018 (Maruti Suzuki),"रू. 32,00,000",personal,Manual - 2WD,White,2018,14,1400,Diesel,43000,,
Suzuki Swift ZXI (Maruti Suzuki),"रू. 23,00,000",Personal Home Office inside ktm,Manual2WD,Metallic Magma Grey,2016,15.3 (As shown on the average counter display),1248,Petrol,30000,,
I20 Sportz Brand New Car for sale. (Hyundai),"रू. 36,00,000",1 Yr,Manual2WD,White,2021,20,1200,Petrol,16000,,
Taxi on sell (Maruti Suzuki),"रू. 2,11,000",,Auto4WD,,2015,,,Petrol,,,
Renault Duster RXZ+ AWD 2017 DCI for Sale (Renault),"रू. 34,00,000",6Yrs,Auto4WD,Grey,2017,12Km/Pl,1500,Diesel,45000,Manufacturer/Importer,
Tata nano(Sky blue) (Tata),"रू. 4,15,000",10years,Auto - 4WD,Sky blue,2069,17,624,Petrol,32564,No,
endeavor (Ford),"रू. 1,10,00,000",,Auto - 4WD,white,2016,12,3200,Diesel,62000,,
maruti swift (Maruti Suzuki),"रू. 26,50,000",Few time,Manual2WD,Silver,2020,19-20,1200,Petrol,11000,Company..,
Hyundai i10 Magna 2014 (Hyundai),"रू. 17,00,000",,Manual - 2WD,Maroon Red,2014,,1200,Petrol,39000,,
DATSUN GO 1.2 2016 FOR SALE (Datsun),"रू. 13,25,000",7Yrs,Manual2WD,Maroon,2016,12Km/Pl,1200,Petrol,39000,Manufacturer/Importer,
sell (Maruti Suzuki),"रू. 32,00,000",,PowerSteering,maroon color (red),2018,14,1200,Diesel,66000,,
Creta Sx + petrol for sale (Hyundai),"रू. 34,50,000",Private,Manual2WD,White,2016,12,1600,Petrol,41000,,
Hyundai i20 Active S 2019 (Single Handed) (Hyundai),"रू. 32,00,000",personal Use,Manual - 2WD,White,2019,15,1400,Petrol,39000,,
urgent sell (Tata),"रू. 36,00,000",,Auto2WD,green,2021,,1200,Petrol,36000,,
Suzuki Balena (2017) For Sale! (Maruti Suzuki),"रू. 24,00,000",,Manual2WD,,2017,,,Petrol,,,
Mitsubishi L200 - 4WD Pickup - Hilux Model (Mitsubishi),"रू. 20,50,000",,Manual4WD,White,2007,8,2500,Diesel,79000,,
Hyundai Tucson 2009 (Hyundai),"रू. 21,00,000",personal Used,Manual4WD,Akasilver,2009,12-Aug,1191cc,Diesel,65000,No Warranty,
Sell (Kia),"रू. 25,15,000",Prived,Manual4WD,Grey,2009,10,2000,Diesel,71000,"No,",
Mahindra KUV 100 K8 (Mahindra),"रू. 22,50,000",personal,Auto2WD,milavared,2016,14-15,1198cc,Petrol,35000,No warranty,
ford Figo titanium on sale (Ford),"रू. 10,00,000",,Manual - 2WD,red,2011,,1200,Petrol,80000,,
Hyundai Tucson ix35 4WD (Hyundai),"रू. 36,50,000",personal,Manual4WD,orange,2011,12-Oct,1995cc,Diesel,87000,No Warranty,
Toyota Land Cruiser Prado Vx (Toyota),"रू. 2,35,00,000",,Auto - 4WD,Silver,2017,,4461,Diesel,85000,,
Ford Ranger Autogear 4wd 55 Lakh Bank Available (Ford),"रू. 88,00,000",,Auto - 4WD,Grey,2020,,3200,Diesel,17000,,
Volkswagen Tiguan Allspace for sale (Volkswagen),"रू. 87,00,000",Driving,Auto4WD,Uranus Grey,2017,,1984,Petrol,50000,,
Fresh condition Toyota RAV4 (Toyota),"रू. 34,90,000",,Auto - 4WD,Red,2010,,2400,Petrol,84000,,
Toyota RAV4 2013 Model (Toyota),"रू. 65,00,000",,Manual - 4WD,Grey,2013,,2500,Petrol,,,
urgent sale 9841395832 (Mahindra),"रू. 7,50,000",,Manual2WD,,2015,,2600,Diesel,9,,
Maruti Suzuki Swift Dzire Zxi 2015 (Maruti Suzuki),"रू. 21,50,000",,Manual4WD,Silver,2015,,1197,Petrol,40014,,
I10 sportz 1.2 for sale (Hyundai),"रू. 15,99,999",12 years,Manual - 2WD,gry,2011,13,1200,Petrol,52000,no,
Kiger On Sell (Renault),"रू. 25,00,000",Private,Power Steering,Blue,2021,15,1000,Petrol,18000,Available,
i10 Hyundai Magna - Silver (Hyundai),"रू. 15,00,000",Personal use,Manual2WD,Silver,2010,14-Dec,1200cc,Petrol,58000,No,
Single handed isuzu s-cab for sale (Other Brands),"रू. 29,75,000",5years,Manual - 2WD,silver,2018,13,2500,Diesel,30000,no,
Ford Figo exi for sale (Ford),"रू. 12,25,000",10 years,Manual - 2WD,silver,2013,13,1200,Petrol,4000,no,
TOYOTA RAV4 FOR SALE (Toyota),"रू. 33,00,000",personal purpose,Auto4WD,silver,2015,,2494,Petrol,12000,,
"Toyota HILUX On Sale RS. 36,00,000 (Toyota)","रू. 36,00,000",Personal Commuting,Manual4WD,White,2010,,2755,Diesel,,,
Well Maintained Swift Dzire VXI 2012 for sell (Maruti Suzuki),"रू. 17,00,000",10,Manual - 2WD,Silver,2012,13,1200,Petrol,63000,,
vehicle available for sale (Other Brands),"रू. 15,00,000",,Power Steering,Red,2022,120,15,Electric,3000,,
Tata bus 1512 euro 3 jodi bus sasto ma (Tata),"रू. 5,00,000",5 yrs,Manual - 4WD,blue white,2016,5,10000,Diesel,60000,non,
KIA Sportage urgent sale (Kia),"रू. 18,75,000",14 years,Manual - 4WD,maroon red,2007,13,2000,Diesel,68000,,
Hyundai Santafee (Hyundai),"रू. 80,00,000",,Auto4WD,RED,2012,,2199,Diesel,,,
tata Indica (Tata),"रू. 5,50,000",,Power Steering,white,2007,,,Petrol,77000,,
Baleno (Maruti Suzuki),"रू. 21,50,000",personal,Power Steering,grey,2016,,,Petrol,57186,,
Tata sumo bikrima (Tata),"रू. 15,00,000",,Manual - 2WD,black,2016,,2800,Diesel,,,
tucson (Hyundai),"रू. 17,50,000",16,Auto - 4WD,blue,2006,12,1992,Diesel,160000,,
Hyundai Santro GL plus 2011 Model (Hyundai),"रू. 14,00,000",,Manual2WD,Silver,2011,,1086,Petrol,97000,,
chevtolet (Chevrolet),"रू. 8,35,000",personal,Manual - 2WD,grey,2010,11,1400,Petrol,70100,,
Single hand grand i10 magna 2018(airbag) on sale (Hyundai),"रू. 22,50,000",,Manual2WD,Red,2018,,1200,Petrol,27000,,
Skoda fabia on sale (Skoda),"रू. 12,50,000",,Manual - 2WD,silver,2012,,1200,Petrol,68000,,
Volkswagen Polo 1.6 Highline (Volkswagen),"रू. 21,00,000",6 yrs,Manual - 2WD,Silver,2015,,1600,Petrol,49000,,
tata sumo gold ex 2014 (Tata),"रू. 12,50,000",privet,Power Steering,गोल्डेन,2014,,2956,Diesel,,,
Mahindra scorpio pickup (Mahindra),"रू. 24,00,000",,Manual4WD,,2016,,2200,Diesel,,,
Super Fresh Condition 2007 Model Toyota Hilux (Toyota),"रू. 26,95,000",Personal,Manual - 4WD,White,2007,10,2500,Diesel,80000,Some days,
Toyota Hilux (Toyota),"रू. 26,95,000",Personal,Manual - 4WD,White,2007,10,2500,Diesel,80000,Some days,
Japanese Sirion on Sale (Daihatsu),"रू. 9,30,000",,Manual - 2WD,silver,2007,15,1300,Petrol,78000,,
Tata nexon xza + on sell (Tata),"रू. 37,00,000",personal,Auto - 4WD,silver,2021,20,1200,Petrol,5000,5 years,
New Electric taxi booking open (Tata),"रू. 45,00,000",,Auto - 2WD,white,2023,,,Electric,0,3 years warranty,
jamma 1350000 maa 15 ko tata sumo (Tata),"रू. 14,00,000",,Auto - 2WD,selver,2015,,,Diesel,80000,,
Wagonr 2017 model vxi Car sale (Maruti Suzuki),"रू. 16,90,000",personal,Manual - 2WD,red,2017,17,999,Petrol,31000,no,
Hyundai Kona EV 2021 with only 10000 Km (Hyundai),"रू. 55,50,000",,Auto2WD,Grey,2021,,,Electric,10000,,
KIA Sportage on Sale!! (Kia),"रू. 9,90,000",,Manual4WD,Maroon,2001,13,2200,Diesel,143000,,
Hyundai i20 Magna 2013 (Hyundai),"रू. 17,35,000",10 Years,Manual - 2WD,Chocolate,2013,14,1197,Petrol,44000,No warranty,
VOLKSWAGEN POLO GT TSI Autogear 2013 (Volkswagen),"रू. 24,50,000",,Auto2WD,WHite,2013,,1200,Petrol,35000,,
Single Handed Eeco 7 Seater 2018 For Sell,"रू. 17,00,000",,Manual - 2WD,Silver,2018,12,1200,Petrol,41000,,
Toyata Rav4 Autogear 2008 Model On Sale Urgent (Toyota),"रू. 38,00,000",,Auto - 4WD,White,2008,,2362,Petrol,91000,,
Triber Renualt 2021 (Renault),"रू. 23,50,000",1.6 year,Auto2WD,Metal Mustard,2021,16,999,Petrol,14000,Yes,
Fully fresh Hyundai grand i10 Magna (Hyundai),"रू. 22,25,000",,Manual2WD,sleek silver,2016,15,1197cc,Petrol,33000,,
car on sale (Hyundai),"रू. 11,00,000",,Power Steering,grey,2008,,1000,Petrol,88000,,
TOYOTA AVANZA 7 Seater (Toyota),"रू. 17,50,000",,Manual - 2WD,,0,,,Petrol,,,
Mitsubishi pajero 5 door for sale (Mitsubishi),"रू. 1,28,00,000",,Auto4WD,,2016,,3200,Diesel,,,
grand vitara (Maruti Suzuki),"रू. 75,99,000",Brand new,Manual4WD,Silver,2023,29.87,1490,Hybrid,315,As per company rules,
Hyundai Creta (Hyundai),"रू. 35,85,000",,Manual - 4WD,sleek sliver,2015,,1591,Petrol,57000,,
Toyota Hilux (Toyota),"रू. 78,00,000",,Manual - 4WD,sliver,2018,,2755,Diesel,40000,,
Toyota Hilux (Toyota),"रू. 78,00,000",,Manual - 4WD,silver,2018,,2755,Diesel,40000,,
tata winger school van (Tata),"रू. 10,00,000",,Manual - 2WD,yellow,2010,8,1900,Diesel,82000,,
Toyota hilux (Toyota),"रू. 78,00,000",,Manual - 4WD,silver,2018,,2755,Diesel,40000,,
Hyundai Creta (Hyundai),"रू. 35,90,000",,Auto - 2WD,sleek silver,2015,,1591,Petrol,57000,,
Hyundai Creta (Hyundai),"रू. 35,85,000",,Manual - 2WD,sleek silver,2015,,1591,Petrol,57000,,
2017 Hyundai Eon Era Plus (Hyundai),"रू. 13,50,000",,Manual - 2WD,Silver,207,,814,Petrol,33000,,
Renault Kiger RXL MT Auto Gear (Renault),"रू. 27,85,000",,Auto - 2WD,Moonlight Silver,2021,,999,Petrol,7000,,
SONET (KIA) (Kia),"रू. 32,00,000",,Manual2WD,Intense red,2021,,1200,Petrol,11000,,
"comapany color, fully loaded, freshcreta sx plus (Hyundai)","रू. 36,50,000",home,Manual - 2WD,silver,2016,12,1600,Petrol,39243,,
Hyundai Creta E Premium Loaded - Petrol (Hyundai),"रू. 54,56,000",,Manual2WD,,2023,,,Petrol,,,
Loan 15 lakh - 17 lakh cash buy this auto captiva (Chevrolet),"रू. 17,00,000",,Auto - 4WD,,2013,,,Diesel,,,
Grand i10 Magna 2014 (Hyundai),"रू. 18,75,000",,Manual - 4WD,grey,2014,,1197,Petrol,42000,,
polo 1.6 high-Line 2016 (Volkswagen),"रू. 24,50,000",,Manual - 2WD,orange,2016,,1600,Petrol,49000,,
Tata nexon xm s (Tata),"रू. 36,50,000",,Manual2WD,White,2021,,1200,Petrol,17000,,
Hyundai getz (Hyundai),"रू. 9,25,000",,Manual2WD,Blue,2008,,1400,Petrol,67000,,
nissan super saloon 2005 model on sale (Nissan),"रू. 11,00,000",,PowerSteering,silver,2005,,1600,Petrol,100500,,
Excellent 9817874410 (Tata),"रू. 16,50,000",5 years,Auto2WD,red,2014,14,2956,Diesel,125000,,
Single hand 2018 model Isuzu S-Cab sales & Exchang (Other Brands),"रू. 30,50,000",,Manual - 2WD,,2018,,2499,Diesel,,,
Toyota echo (Toyota),"रू. 9,50,000",,Power Steering,grey,2003,,1300,Petrol,140000,,
Ecosport 2013 trend model (Ford),"रू. 17,75,000",,Manual2WD,White,2013,,1200,Diesel,54500,,
scorpio m2 di crd (Mahindra),"रू. 11,85,000",,Auto - 2WD,black,2006,16,2523,Diesel,,,
Maruti suzuki s cross (Maruti Suzuki),"रू. 25,00,000",,Manual2WD,Gray,2016,16/17,,Diesel,,,
winger 14 seter 2018 ko fresh xa (Tata),"रू. 18,00,000",privet,Manual - 2WD,silver,2018,12,1900,Diesel,,no,
Swift Zxi 2006 Single Hand (Maruti Suzuki),"रू. 13,90,000",17 years,Manual - 2WD,Silver,2006,14,1200,Petrol,55000,Buy back,
Tata intra V20 on sale (Tata),"रू. 14,50,000",2 years,Manual - 2WD,blue,2020,12,1396,Diesel,28000,,
Toyota Corolla lx new shape with double airbag (Toyota),"रू. 17,25,000",,Manual - 2WD,Royal black,2007,,1600,Petrol,47000,,
Tata Tigor (Tata),"रू. 24,00,000",,Auto2WD,red,2020,,,Petrol,-,,
Tata Tipper (Tata),"रू. 18,00,000",3 yrs,Auto2WD,blue,2017,,,Diesel,79000,,
fresh rio hatchback on sell with sunroof (Kia),"रू. 8,20,000",,Manual - 2WD,orange,2006,17,1400,Petrol,65000,,
Mahindra bolero (Mahindra),"रू. 7,50,000",Marketing,Auto2WD,White,2013,,2523,Diesel,,,
i20 active s (Hyundai),"रू. 26,50,000",,Manual - 2WD,,2015,,1200,Petrol,,,
Hiace for sale (Toyota),"रू. 38,00,000",,Manual2WD,White,2015,,2800,Diesel,,,
Family car on sale - Perodua viva (Perodua),"रू. 7,65,000",,Manual - 2WD,Silver,2008,,850,Petrol,36000,,
Suzuki vittara 3 door (Maruti Suzuki),"रू. 8,75,000",,Manual4WD,white,1992,,1600 Cc,Petrol,100000,No,
Bolero Maxx on Sell. (Mahindra),"रू. 14,00,000",,Power Steering,White,2018,,,Diesel,34000,,
well maintained fully fresh engine i20 on sale (Hyundai),"रू. 12,50,000",office,Manual2WD,silver,2010,16,1200,Petrol,48000,no,
KIA Sorento (Kia),"रू. 55,00,000",,Auto4WD,Silver,2009,,,Diesel,55000,,
Hyundai Creta 2017 (Hyundai),"रू. 33,90,000",,Manual - 2WD,gre,2017,,1598,Petrol,41000,,
Omni cargo 2016 model (Maruti Suzuki),"रू. 5,50,000",,Manual - 4WD,,2016,,800,Petrol,,,
Honda CR-V 2018 (Honda),"रू. 1,07,00,000",,Auto4WD,White,2018,,1500,Petrol,8300,,
Fresh Maruti Car On Sales (Maruti Suzuki),"रू. 5,50,000",,Manual - 2WD,Silky Silver,2006,15,800,Petrol,81155,,
wagan R 2008 vxi (Maruti Suzuki),"रू. 8,35,000",10 years,Manual - 2WD,marron,2008,16,1087,Petrol,55000,,
Terios (Daihatsu),"रू. 15,00,000","family , office",Power Steering,red,1999,10,1300,Petrol,,,
Full fresh condition zyotee mini JEEP on sale (Other Brands),"रू. 9,95,000",12 years,Manual2WD,Black,2010,14,1300,Petrol,48000,,
Vw poli 1.6 single hand (Volkswagen),"रू. 16,50,000",,Manual2WD,Black,2011,13,1600,Petrol,47000,,
Suzuki Swift Dzire 2010 Vxi (Maruti Suzuki),"रू. 13,99,999",,Auto - 2WD,White,2010,16,1200,Petrol,61000,,
Skoda Rapid 2021 with 15 lakh Finance (Skoda),"रू. 30,00,000",,Manual - 2WD,White,2021,,1000,Petrol,21000,,
Hyundai I10 (2014 Model) (Hyundai),"रू. 17,00,000",9,Manual2WD,maroon,2014,16.5,1049,Petrol,41848,,
2010 maruti suzuki ritz fully loaded (Maruti Suzuki),"रू. 10,99,000",all kind,Manual2WD,silver,2010,14 km,1200,Petrol,750000,no,
Skoda Rapid 2013 (Skoda),"रू. 16,25,000",personal use,Manual2WD,silver,2013,22,,Diesel,73000,yes,
Tata Tiago On Sale (Tata),"रू. 19,80,000",4 years,Manual - 2WD,Coffee,2019,15,1200,Petrol,20000,,
Kia sportage lxi petrol (Kia),"रू. 48,50,000",4.5yrs,Manual2WD,Silver,2018,13-Oct,2000,Petrol,52000,No,
all new Ford Fiesta titanium (Ford),"रू. 15,00,000",personal,Manual - 2WD,gray,2013,18,1500,Diesel,96000,no,
Mahindra Bolero 2009 model for sale (Mahindra),"रू. 8,90,000",,Manual2WD,White,2009,,2523 CC,Diesel,,,
Ford Eco sport (2015) white (Ford),"रू. 21,50,000",personal,Manual - 2WD,white,2015,,1500,Petrol,70000,,
407 Tata Mini Trac Sell (Tata),"रू. 9,25,000",5 years,Power Steering,Ghum,2017,10,,Diesel,40000,No,
2010 Model New Shape I10 Magna 1.2 On Sale (Hyundai),"रू. 14,75,000",10 Years,Manual - 2WD,Grey,2010,14,1200,Petrol,61000,@,
Hyundai Getz 2009 Model Full Option (Hyundai),"रू. 9,20,000",,Manual - 2WD,,2009,,1350,Petrol,72000,,
Excellent Condition Suzuki Eeco van 2012 on Sale (Maruti Suzuki),"रू. 12,25,000",,Manual2WD,Grey,2012,12,1200,Petrol,48000,,
Excellent Condition Suzuki Swift Zxi 2008 on sale (Maruti Suzuki),"रू. 13,99,999",,Manual2WD,Azure Grey,2008,13-Dec,1300,Petrol,66000,,
Hyundai i10 (Hyundai),"रू. 24,00,000",2 years,Manual - 2WD,silver,2020,2025,1200,Petrol,26500,no,
Tata sumo ex gold (Tata),"रू. 11,75,000",SUV/Jeep,Power Steering,gold,2013,,2956,Diesel,93000,,
Suzuki Swift Dzire VXI 2009 (Maruti Suzuki),"रू. 11,90,000",,Manual - 2WD,silver,2009,,1200,Petrol,60000,,
Very Fresh Car for Sale(2016) (Skoda),"रू. 19,75,000",6 years,Manual2WD,White,2016,16-20 kmpl,1.4,Diesel,60000,No,
Rav4 (Toyota),"रू. 65,00,000",4,Manual - 2WD,Grey,2013,,2500,Petrol,55000,1,
Hyundai Matrix with Sunroof (Hyundai),"रू. 6,50,000",,Manual - 2WD,,2003,,,Petrol,,,
Toyota avanza 2006 for sales (Toyota),"रू. 18,00,000",Prosnal,Auto2WD,silver,2006,11,1300,Petrol,8500,No,
Ford Freestyle Titanium On Sale (Ford),"रू. 24,95,000",,Auto2WD,White,2018,,1200,Petrol,28800,,
Jyoti For Sale (Other Brands),"रू. 10,50,000",Bharosa,Manual - 2WD,Red,2011,12,1500,Petrol,76000,,
Lxi Alto (Maruti Suzuki),"रू. 13,50,000",Bharosa,Manual - 2WD,White,2016,16,800,Petrol,56000,,
Scorpio S5+ 2020 Model (Mahindra),"रू. 42,00,000",,Manual - 4WD,white,2020,,,Diesel,,,
vitara brezza zdi+ (Maruti Suzuki),"रू. 30,25,000",5,Manual - 2WD,white,2017,17,1250,Diesel,50000,no,
Suzuki swift zxi 2014 (Maruti Suzuki),"रू. 20,00,000",,Manual - 2WD,silver,2014,14,1500,Petrol,,,
Scorpio S4 Plus 2017 model (Mahindra),"रू. 36,00,000",,Manual - 4WD,Blue,2017,,,Diesel,,,
Mahindra tipper (Mahindra),"रू. 18,00,000",personal construction,Auto2WD,blue,2018,,2609 cc,Diesel,23000,,
FORD ECO SPORTS IN IMMACULATE CONDITION (Ford),"रू. 23,50,000",4 YRS,PowerSteering,GREY,2018,,1500,Petrol,35500,,
"Swift Dzire vxi ,2008 model, petrol,9851016822 (Maruti Suzuki)","रू. 12,50,000",,Manual - 2WD,grey,2008,,1300,Petrol,66235,,
"Nios grand i10 magna,2021 model, petrol,9851016822 (Hyundai)","रू. 27,75,000",,Manual - 2WD,graynite,2021,,1200,Petrol,12000,,
